Dimension,Factor,Median CAC,Mean CAC,p5 CAC,p95 CAC
1. Funnel (LPV x ATC),0.8,81.97,84.83,58.82,119.12
1. Funnel (LPV x ATC),0.9,64.52,66.38,46.72,91.74
1. Funnel (LPV x ATC),1.0,52.63,53.76,37.74,76.34
1. Funnel (LPV x ATC),1.1,43.86,45.15,32.05,64.1
1. Funnel (LPV x ATC),1.2,40.49,41.26,29.32,56.18
2. Prior concentration (ESS),0.25,55.25,59.46,31.15,104.17
2. Prior concentration (ESS),0.5,53.76,56.79,35.19,86.21
2. Prior concentration (ESS),1.0,52.91,54.34,37.73,75.76
2. Prior concentration (ESS),2.0,52.63,53.39,39.22,70.42
2. Prior concentration (ESS),5.0,51.55,52.76,41.15,68.49
3. CPM (all channels),0.8,42.02,42.74,29.94,57.82
3. CPM (all channels),0.9,47.62,48.63,34.12,67.57
3. CPM (all channels),1.0,52.08,53.45,36.76,74.07
3. CPM (all channels),1.1,57.47,59.3,41.49,82.64
3. CPM (all channels),1.2,62.5,64.73,45.45,92.59
4. CTR prior mean,0.8,65.79,67.71,46.08,97.09
4. CTR prior mean,0.9,58.65,60.15,42.37,84.03
4. CTR prior mean,1.0,53.19,54.6,37.58,76.37
4. CTR prior mean,1.1,46.95,48.6,34.24,66.67
4. CTR prior mean,1.2,43.57,44.81,32.36,60.61
5. CVR prior mean,0.8,66.01,67.74,46.08,95.24
5. CVR prior mean,0.9,57.97,60.0,41.48,85.47
5. CVR prior mean,1.0,52.63,54.47,38.16,75.22
5. CVR prior mean,1.1,48.31,49.3,35.21,67.14
5. CVR prior mean,1.2,43.1,44.34,32.14,61.37
6. CPC sigma_log (uncertainty),0.8,52.08,54.17,38.31,76.92
6. CPC sigma_log (uncertainty),0.9,52.08,54.05,38.01,74.63
6. CPC sigma_log (uncertainty),1.0,52.08,53.59,36.63,76.34
6. CPC sigma_log (uncertainty),1.1,52.36,53.84,38.16,74.65
6. CPC sigma_log (uncertainty),1.2,52.91,54.17,38.02,74.07
7. Seasonality std,0.8,52.36,53.47,37.74,71.97
7. Seasonality std,0.9,52.91,53.74,37.04,74.63
7. Seasonality std,1.0,52.36,53.61,37.88,75.19
7. Seasonality std,1.1,52.91,54.27,38.16,74.07
7. Seasonality std,1.2,52.36,53.37,36.76,72.99
8. Adstock mean,0.8,59.52,61.49,43.29,86.24
8. Adstock mean,0.9,57.8,59.51,40.64,82.64
8. Adstock mean,1.0,52.63,54.25,38.31,74.1
8. Adstock mean,1.1,48.31,49.83,34.96,68.52
8. Adstock mean,1.2,46.19,47.17,33.0,64.54
9. Saturation mean,0.8,64.1,65.58,45.65,92.59
9. Saturation mean,0.9,57.14,58.8,40.65,83.33
9. Saturation mean,1.0,53.05,53.93,37.45,76.34
9. Saturation mean,1.1,50.25,51.5,36.62,72.46
9. Saturation mean,1.2,50.0,51.71,36.63,70.45
10. Total budget (AUD),5000.0,53.19,54.25,37.86,75.82
10. Total budget (AUD),7500.0,51.37,53.74,37.69,75.76
10. Total budget (AUD),10000.0,52.08,53.72,37.59,74.65
10. Total budget (AUD),15000.0,52.08,53.58,37.22,75.02
10. Total budget (AUD),20000.0,52.29,53.37,37.8,73.01
